frame_number,ID,LT,RB,score
0,2,"(486, 166)","(639, 349)",0.26
1,2,"(486, 166)","(639, 349)",0.26
2,2,"(486, 166)","(639, 349)",0.26
3,2,"(485, 166)","(638, 349)",0.26
4,2,"(485, 167)","(639, 349)",0.26
5,2,"(485, 166)","(639, 350)",0.25
6,2,"(485, 166)","(638, 350)",0.25
7,2,"(485, 166)","(638, 350)",0.25
8,2,"(485, 166)","(638, 350)",0.25
9,2,"(484, 166)","(638, 350)",0.25
10,2,"(484, 167)","(638, 351)",0.25
11,2,"(485, 167)","(637, 351)",0.25
12,2,"(485, 167)","(637, 351)",0.26
13,2,"(484, 167)","(637, 351)",0.26
14,2,"(484, 168)","(637, 352)",0.25
15,2,"(484, 167)","(637, 355)",0.25
16,2,"(483, 169)","(635, 358)",0.26
17,2,"(483, 169)","(635, 358)",0.26
18,2,"(483, 170)","(633, 359)",0.26
19,2,"(481, 171)","(634, 360)",0.27
20,2,"(482, 171)","(635, 360)",0.28
21,2,"(483, 171)","(635, 357)",0.27
22,2,"(484, 171)","(635, 357)",0.27
23,2,"(484, 171)","(634, 357)",0.27
24,2,"(483, 169)","(636, 359)",0.27
25,2,"(484, 170)","(634, 358)",0.27
26,2,"(484, 170)","(634, 357)",0.27
27,2,"(485, 170)","(635, 357)",0.27
28,2,"(485, 170)","(635, 357)",0.27
29,2,"(485, 170)","(636, 357)",0.27
30,2,"(486, 170)","(637, 356)",0.27
31,2,"(486, 168)","(638, 356)",0.27
32,2,"(486, 170)","(637, 355)",0.28
33,2,"(486, 167)","(639, 355)",0.27
34,2,"(486, 168)","(639, 355)",0.27
35,2,"(488, 167)","(639, 355)",0.27
36,2,"(488, 168)","(639, 352)",0.27
37,2,"(488, 168)","(639, 352)",0.27
38,2,"(489, 167)","(639, 353)",0.27
39,2,"(488, 167)","(639, 355)",0.27
40,2,"(490, 167)","(641, 353)",0.24
41,2,"(490, 166)","(642, 354)",0.25
42,2,"(490, 167)","(642, 355)",0.24
43,2,"(490, 167)","(642, 356)",0.26
44,2,"(490, 168)","(642, 355)",0.26
45,2,"(491, 168)","(643, 354)",0.26
46,2,"(491, 167)","(643, 355)",0.26
47,2,"(491, 168)","(642, 355)",0.26
48,2,"(490, 167)","(642, 356)",0.26
49,2,"(490, 167)","(642, 357)",0.24
50,2,"(490, 166)","(643, 356)",0.23
51,2,"(490, 165)","(644, 356)",0.23
52,2,"(490, 165)","(644, 356)",0.23
53,2,"(490, 166)","(643, 357)",0.24
54,2,"(490, 165)","(643, 355)",0.23
55,2,"(490, 164)","(643, 355)",0.23
56,2,"(490, 164)","(644, 353)",0.24
57,2,"(490, 164)","(643, 353)",0.24
58,2,"(491, 165)","(643, 352)",0.24
59,2,"(490, 166)","(642, 352)",0.25
60,2,"(491, 166)","(643, 352)",0.25
61,2,"(491, 167)","(643, 353)",0.25
62,2,"(491, 167)","(643, 353)",0.25
63,2,"(488, 166)","(642, 355)",0.24
64,2,"(488, 166)","(642, 357)",0.24
65,2,"(489, 165)","(642, 354)",0.24
66,2,"(488, 165)","(642, 355)",0.23
67,2,"(488, 165)","(642, 355)",0.24
68,2,"(487, 165)","(642, 356)",0.23
69,2,"(487, 165)","(642, 356)",0.23
70,2,"(489, 166)","(643, 352)",0.25
71,2,"(489, 165)","(643, 352)",0.25
72,2,"(489, 165)","(643, 352)",0.25
73,2,"(489, 165)","(642, 353)",0.25
74,2,"(489, 165)","(643, 352)",0.25
75,2,"(489, 164)","(642, 353)",0.24
76,2,"(489, 164)","(642, 353)",0.24
77,2,"(489, 165)","(642, 354)",0.24
78,2,"(489, 164)","(643, 353)",0.24
79,2,"(490, 165)","(642, 353)",0.25
80,2,"(491, 165)","(643, 353)",0.24
81,2,"(492, 166)","(644, 353)",0.24
82,2,"(492, 166)","(644, 352)",0.25
83,2,"(492, 166)","(645, 353)",0.25
84,2,"(491, 165)","(643, 351)",0.23
85,2,"(491, 165)","(644, 353)",0.23
86,2,"(491, 166)","(643, 352)",0.24
87,2,"(491, 166)","(643, 352)",0.24
88,2,"(491, 166)","(643, 352)",0.24
89,2,"(491, 165)","(644, 352)",0.24
90,2,"(490, 166)","(643, 355)",0.24
91,2,"(490, 166)","(643, 355)",0.24
92,2,"(492, 164)","(643, 349)",0.24
93,2,"(492, 164)","(643, 349)",0.23
94,2,"(491, 164)","(643, 349)",0.24
95,2,"(491, 165)","(643, 352)",0.24
96,2,"(488, 164)","(642, 354)",0.24
97,2,"(488, 164)","(642, 354)",0.24
98,2,"(489, 164)","(643, 354)",0.24
99,2,"(488, 164)","(642, 355)",0.24
100,2,"(489, 167)","(641, 352)",0.25
101,2,"(489, 172)","(640, 356)",0.24
102,2,"(489, 175)","(640, 360)",0.24
103,2,"(489, 174)","(640, 360)",0.24
104,2,"(492, 181)","(639, 362)",0.25
105,1,"(494, 192)","(637, 370)",0.27
106,2,"(494, 197)","(636, 376)",0.27
108,2,"(495, 198)","(639, 379)",0.26
125,2,"(496, 198)","(641, 381)",0.28
126,2,"(496, 199)","(640, 381)",0.28
127,2,"(495, 196)","(641, 380)",0.25
128,2,"(495, 195)","(641, 380)",0.25
129,2,"(495, 196)","(640, 380)",0.26
130,1,"(496, 196)","(640, 378)",0.29
131,1,"(496, 197)","(639, 378)",0.29
132,1,"(496, 197)","(640, 378)",0.29
133,1,"(496, 198)","(639, 378)",0.29
139,2,"(489, 178)","(643, 365)",0.25
140,2,"(491, 170)","(643, 359)",0.28
141,2,"(491, 170)","(643, 357)",0.28
142,2,"(491, 169)","(642, 356)",0.29
143,2,"(490, 168)","(642, 356)",0.28
144,2,"(490, 168)","(642, 356)",0.29
145,2,"(491, 167)","(643, 353)",0.29
146,2,"(490, 166)","(642, 354)",0.26
147,2,"(489, 166)","(643, 355)",0.25
148,2,"(489, 166)","(643, 355)",0.25
149,2,"(489, 165)","(643, 355)",0.25
150,2,"(492, 164)","(642, 345)",0.25
151,2,"(491, 164)","(643, 347)",0.25
152,2,"(490, 164)","(643, 349)",0.26
153,2,"(490, 164)","(643, 350)",0.26
154,2,"(490, 164)","(643, 350)",0.26
155,2,"(491, 165)","(644, 351)",0.26
156,2,"(491, 165)","(643, 351)",0.26
157,2,"(491, 165)","(643, 352)",0.26
158,2,"(491, 166)","(644, 352)",0.26
159,2,"(490, 166)","(644, 352)",0.26
160,2,"(492, 166)","(644, 352)",0.28
161,2,"(490, 167)","(642, 358)",0.26
162,2,"(490, 166)","(643, 362)",0.24
163,2,"(489, 166)","(642, 362)",0.24
164,2,"(489, 166)","(642, 361)",0.24
165,2,"(491, 165)","(641, 347)",0.24
166,2,"(491, 164)","(641, 344)",0.25
167,2,"(491, 164)","(641, 344)",0.25
168,2,"(491, 164)","(641, 344)",0.25
169,2,"(491, 164)","(641, 345)",0.25
170,2,"(490, 164)","(641, 349)",0.26
171,2,"(491, 165)","(643, 352)",0.26
172,2,"(490, 164)","(643, 352)",0.25
173,2,"(490, 164)","(643, 352)",0.26
174,2,"(490, 164)","(643, 353)",0.26
175,2,"(491, 165)","(644, 354)",0.25
176,2,"(491, 165)","(644, 356)",0.25
177,2,"(490, 165)","(644, 358)",0.25
178,2,"(489, 165)","(645, 358)",0.26
179,2,"(490, 165)","(644, 358)",0.25
180,2,"(491, 167)","(643, 352)",0.26
181,2,"(491, 167)","(643, 352)",0.26
182,2,"(491, 167)","(643, 352)",0.25
183,2,"(491, 167)","(644, 352)",0.26
184,2,"(491, 166)","(644, 353)",0.26
185,2,"(492, 166)","(644, 350)",0.26
186,2,"(492, 166)","(644, 350)",0.26
187,2,"(492, 166)","(644, 351)",0.26
188,2,"(492, 166)","(644, 351)",0.26
189,2,"(492, 166)","(644, 350)",0.26
190,2,"(491, 167)","(643, 352)",0.27
191,2,"(491, 167)","(643, 353)",0.27
192,2,"(491, 167)","(642, 354)",0.27
193,2,"(491, 167)","(642, 353)",0.27
194,2,"(490, 167)","(642, 356)",0.27
195,2,"(489, 168)","(643, 357)",0.25
196,2,"(489, 169)","(643, 356)",0.25
197,2,"(489, 169)","(643, 356)",0.26
198,2,"(490, 169)","(643, 356)",0.26
199,2,"(490, 169)","(643, 357)",0.25
200,2,"(492, 169)","(644, 356)",0.24
201,2,"(1241, 269)","(1543, 663)",0.09
201,2,"(491, 167)","(645, 357)",0.23
202,2,"(1241, 269)","(1542, 663)",0.10
202,2,"(492, 167)","(645, 355)",0.24
203,2,"(492, 167)","(645, 355)",0.24
204,2,"(492, 167)","(644, 355)",0.24
205,2,"(492, 167)","(644, 354)",0.23
206,2,"(492, 167)","(645, 354)",0.25
207,2,"(493, 168)","(644, 354)",0.24
208,2,"(493, 168)","(645, 354)",0.24
209,2,"(492, 167)","(645, 354)",0.24
210,2,"(491, 166)","(645, 354)",0.24
211,2,"(1241, 269)","(1543, 663)",0.10
211,2,"(491, 164)","(644, 352)",0.24
212,2,"(1241, 269)","(1543, 663)",0.09
212,2,"(491, 164)","(644, 352)",0.23
213,2,"(1241, 269)","(1542, 663)",0.09
213,2,"(490, 164)","(645, 352)",0.24
214,2,"(490, 164)","(643, 352)",0.24
215,2,"(489, 164)","(643, 354)",0.24
216,2,"(1241, 269)","(1543, 663)",0.10
216,2,"(490, 163)","(643, 352)",0.24
217,2,"(1241, 269)","(1543, 663)",0.10
217,2,"(491, 163)","(643, 349)",0.24
218,2,"(1241, 269)","(1543, 663)",0.10
218,2,"(491, 163)","(643, 349)",0.24
219,2,"(1241, 269)","(1543, 663)",0.10
219,2,"(490, 162)","(643, 350)",0.24
220,2,"(491, 164)","(642, 352)",0.26
221,2,"(490, 164)","(644, 357)",0.24
222,2,"(490, 165)","(643, 358)",0.24
223,2,"(490, 165)","(643, 358)",0.24
224,2,"(491, 164)","(644, 355)",0.25
225,2,"(491, 164)","(644, 352)",0.25
226,2,"(493, 165)","(643, 350)",0.25
227,2,"(494, 165)","(644, 348)",0.26
228,2,"(493, 164)","(644, 348)",0.26
229,2,"(493, 164)","(644, 346)",0.26
230,2,"(493, 164)","(644, 346)",0.25
231,2,"(491, 163)","(644, 352)",0.25
232,2,"(491, 163)","(644, 351)",0.25
233,2,"(491, 163)","(644, 351)",0.25
234,2,"(491, 163)","(642, 349)",0.25
235,2,"(491, 163)","(642, 348)",0.24
236,2,"(492, 165)","(642, 350)",0.25
237,2,"(492, 167)","(643, 350)",0.25
238,2,"(491, 166)","(643, 351)",0.25
239,2,"(492, 168)","(643, 353)",0.25
240,2,"(491, 167)","(642, 354)",0.26
241,2,"(491, 167)","(642, 353)",0.26
242,2,"(492, 166)","(643, 353)",0.25
243,2,"(492, 166)","(643, 353)",0.25
244,2,"(492, 167)","(644, 353)",0.25
245,2,"(492, 166)","(643, 353)",0.25
246,2,"(493, 167)","(644, 354)",0.25
247,2,"(492, 167)","(644, 355)",0.24
248,2,"(492, 166)","(644, 355)",0.24
249,2,"(492, 165)","(644, 356)",0.23
250,2,"(492, 166)","(645, 356)",0.23
251,2,"(497, 166)","(646, 356)",0.24
252,2,"(497, 166)","(646, 355)",0.25
253,2,"(497, 166)","(646, 355)",0.25
254,2,"(495, 165)","(646, 357)",0.24
256,2,"(496, 166)","(646, 359)",0.25
257,2,"(496, 166)","(647, 358)",0.25
258,2,"(493, 166)","(645, 359)",0.23
259,2,"(493, 167)","(644, 359)",0.25
260,2,"(492, 166)","(644, 360)",0.23
261,2,"(493, 167)","(645, 357)",0.25
262,2,"(494, 167)","(645, 355)",0.25
263,2,"(494, 167)","(645, 355)",0.25
264,2,"(494, 166)","(645, 354)",0.25
305,2,"(497, 166)","(645, 347)",0.25
306,2,"(495, 165)","(646, 350)",0.26
307,2,"(495, 164)","(647, 352)",0.26
308,2,"(495, 165)","(646, 353)",0.26
309,2,"(495, 165)","(646, 352)",0.26
324,2,"(500, 165)","(646, 348)",0.26
325,2,"(499, 166)","(645, 345)",0.26
328,2,"(495, 168)","(645, 354)",0.26
329,2,"(494, 169)","(644, 354)",0.26
330,2,"(495, 168)","(646, 354)",0.26
331,2,"(495, 168)","(647, 353)",0.26
332,2,"(495, 167)","(646, 354)",0.27
333,2,"(495, 167)","(647, 354)",0.26
334,2,"(495, 167)","(647, 354)",0.27
335,2,"(495, 168)","(646, 350)",0.27
336,2,"(495, 168)","(645, 350)",0.26
337,2,"(495, 169)","(645, 349)",0.25
338,2,"(494, 168)","(646, 351)",0.26
339,2,"(494, 169)","(646, 351)",0.26
340,1,"(495, 168)","(646, 351)",0.27
341,2,"(496, 171)","(643, 350)",0.26
342,2,"(497, 170)","(645, 351)",0.27
343,2,"(498, 168)","(647, 352)",0.27
344,2,"(498, 169)","(646, 352)",0.27
345,2,"(498, 169)","(646, 350)",0.27
346,2,"(498, 169)","(646, 351)",0.27
347,2,"(497, 171)","(644, 351)",0.27
348,2,"(496, 171)","(644, 352)",0.27
349,2,"(497, 171)","(645, 351)",0.27
350,2,"(497, 171)","(644, 352)",0.27
351,2,"(497, 170)","(645, 354)",0.26
352,2,"(497, 170)","(645, 354)",0.26
353,2,"(497, 170)","(646, 355)",0.27
354,2,"(497, 170)","(646, 355)",0.27
355,2,"(498, 168)","(647, 355)",0.27
356,2,"(497, 167)","(647, 358)",0.28
357,2,"(497, 168)","(647, 358)",0.27
358,2,"(496, 169)","(646, 358)",0.27
359,2,"(496, 169)","(645, 358)",0.27
360,2,"(495, 169)","(644, 357)",0.26
361,2,"(494, 168)","(645, 357)",0.26
362,2,"(494, 168)","(645, 357)",0.26
363,2,"(495, 169)","(645, 355)",0.25
364,2,"(495, 170)","(645, 355)",0.25
365,2,"(498, 172)","(644, 351)",0.27
368,2,"(496, 166)","(644, 346)",0.27
369,2,"(496, 166)","(645, 347)",0.27
370,2,"(495, 165)","(644, 348)",0.26
371,2,"(494, 165)","(644, 347)",0.27
372,2,"(494, 166)","(645, 349)",0.27
373,2,"(493, 165)","(644, 350)",0.27
374,2,"(493, 166)","(644, 350)",0.27
375,2,"(493, 166)","(645, 351)",0.26
376,2,"(492, 166)","(645, 353)",0.26
377,2,"(492, 167)","(644, 353)",0.26
378,2,"(493, 167)","(645, 353)",0.26
379,2,"(493, 167)","(645, 353)",0.27
380,2,"(493, 167)","(645, 353)",0.27
381,2,"(492, 166)","(645, 355)",0.27
382,2,"(493, 167)","(646, 355)",0.26
383,2,"(493, 166)","(646, 355)",0.26
384,2,"(493, 166)","(646, 355)",0.26
385,2,"(492, 167)","(645, 355)",0.26
386,2,"(492, 167)","(645, 356)",0.26
387,2,"(493, 167)","(643, 351)",0.27
388,2,"(494, 166)","(642, 349)",0.27
389,2,"(494, 166)","(642, 349)",0.26
390,2,"(493, 165)","(642, 350)",0.27
391,2,"(492, 164)","(643, 351)",0.27
392,2,"(492, 164)","(643, 349)",0.27
393,1,"(493, 164)","(643, 350)",0.28
394,1,"(493, 165)","(644, 351)",0.28
395,1,"(492, 165)","(644, 352)",0.28
396,2,"(492, 166)","(644, 353)",0.27
397,2,"(492, 166)","(644, 352)",0.27
398,2,"(494, 166)","(644, 348)",0.27
399,2,"(495, 166)","(644, 348)",0.27
400,2,"(497, 167)","(645, 347)",0.27
401,2,"(495, 167)","(645, 351)",0.27
402,2,"(495, 167)","(645, 353)",0.26
403,1,"(499, 168)","(647, 353)",0.27
404,2,"(496, 168)","(645, 355)",0.27
405,2,"(500, 167)","(648, 354)",0.27
406,2,"(501, 168)","(648, 354)",0.27
407,2,"(501, 168)","(648, 353)",0.27
408,2,"(502, 168)","(648, 352)",0.27
409,2,"(500, 169)","(648, 353)",0.27
410,2,"(501, 170)","(648, 350)",0.27
565,2,"(732, 168)","(1032, 559)",0.10
566,2,"(737, 170)","(1033, 557)",0.10
567,2,"(751, 184)","(1040, 553)",0.09
568,2,"(758, 186)","(1043, 554)",0.09
569,2,"(758, 186)","(1043, 554)",0.09
570,2,"(764, 188)","(1047, 558)",0.09
571,2,"(767, 191)","(1049, 559)",0.09
572,2,"(772, 195)","(1055, 563)",0.10
573,2,"(776, 195)","(1059, 562)",0.10
574,2,"(776, 195)","(1059, 562)",0.10
575,2,"(779, 197)","(1062, 561)",0.10
576,2,"(781, 197)","(1065, 560)",0.11
577,2,"(784, 201)","(1070, 561)",0.14
578,2,"(786, 202)","(1071, 561)",0.17
579,2,"(788, 202)","(1072, 563)",0.20
580,2,"(789, 202)","(1072, 563)",0.20
581,2,"(788, 202)","(1073, 563)",0.20
582,2,"(791, 212)","(1074, 561)",0.24
583,2,"(792, 209)","(1075, 562)",0.24
584,2,"(794, 209)","(1076, 559)",0.24
585,2,"(794, 210)","(1076, 559)",0.24
586,2,"(794, 210)","(1075, 559)",0.25
587,2,"(791, 208)","(1071, 558)",0.24
588,2,"(792, 205)","(1071, 557)",0.24
589,2,"(794, 203)","(1073, 554)",0.24
590,2,"(794, 204)","(1073, 554)",0.24
597,2,"(776, 196)","(1059, 561)",0.24
598,2,"(772, 197)","(1058, 563)",0.22
599,2,"(768, 196)","(1055, 566)",0.22
600,2,"(769, 198)","(1055, 565)",0.23
601,2,"(766, 196)","(1054, 568)",0.21
602,2,"(760, 197)","(1051, 575)",0.21
603,2,"(758, 197)","(1049, 573)",0.22
604,2,"(759, 199)","(1049, 566)",0.24
605,2,"(759, 199)","(1049, 567)",0.24
606,2,"(760, 200)","(1048, 564)",0.25
607,2,"(759, 200)","(1046, 570)",0.23
608,2,"(759, 200)","(1046, 569)",0.24
609,2,"(757, 198)","(1045, 570)",0.24
610,2,"(759, 200)","(1045, 569)",0.24
611,2,"(757, 200)","(1044, 568)",0.24
612,2,"(758, 198)","(1040, 558)",0.25
613,2,"(758, 198)","(1039, 556)",0.26
614,2,"(755, 200)","(1042, 558)",0.26
615,2,"(755, 200)","(1042, 558)",0.26
616,2,"(754, 200)","(1042, 559)",0.26
617,2,"(750, 201)","(1039, 563)",0.24
618,2,"(750, 202)","(1038, 563)",0.24
619,2,"(750, 200)","(1036, 560)",0.24
620,2,"(750, 201)","(1036, 559)",0.24
621,2,"(749, 200)","(1036, 560)",0.24
622,2,"(746, 195)","(1035, 559)",0.23
623,2,"(749, 196)","(1035, 556)",0.23
627,2,"(748, 178)","(1036, 545)",0.21
628,2,"(746, 179)","(1036, 546)",0.20
629,2,"(746, 180)","(1035, 545)",0.20
630,2,"(747, 179)","(1035, 546)",0.20
631,2,"(745, 180)","(1035, 547)",0.20
632,2,"(741, 188)","(1032, 564)",0.20
633,2,"(739, 198)","(1029, 566)",0.20
634,2,"(744, 203)","(1031, 570)",0.20
635,2,"(745, 203)","(1031, 570)",0.19
636,2,"(744, 207)","(1031, 575)",0.18
637,2,"(750, 216)","(1040, 579)",0.22
638,2,"(752, 213)","(1043, 578)",0.23
639,2,"(750, 201)","(1043, 576)",0.31
640,2,"(750, 202)","(1041, 575)",0.31
641,2,"(750, 184)","(1047, 571)",0.43
642,Unknown,"(753, 168)","(1059, 575)",0.54
643,2,"(422, 301)","(612, 547)",0.28
644,2,"(423, 301)","(612, 549)",0.28
645,2,"(423, 300)","(612, 549)",0.28
646,2,"(422, 303)","(610, 547)",0.28
647,2,"(423, 303)","(611, 548)",0.29
648,2,"(423, 304)","(611, 549)",0.29
649,2,"(423, 304)","(611, 549)",0.29
650,2,"(423, 304)","(611, 549)",0.29
651,2,"(423, 304)","(611, 549)",0.29
652,2,"(423, 304)","(611, 549)",0.29
653,2,"(423, 304)","(611, 549)",0.29
654,2,"(423, 304)","(611, 549)",0.29
655,2,"(423, 303)","(611, 549)",0.29
656,2,"(423, 303)","(611, 549)",0.29
657,2,"(423, 303)","(611, 549)",0.29
658,2,"(423, 303)","(611, 549)",0.29
659,2,"(422, 303)","(611, 549)",0.29
660,2,"(422, 303)","(611, 549)",0.29
661,2,"(422, 303)","(611, 549)",0.29
662,2,"(422, 303)","(611, 549)",0.29
663,2,"(422, 303)","(611, 549)",0.29
664,2,"(422, 303)","(611, 549)",0.29
665,2,"(422, 303)","(611, 549)",0.29
666,2,"(422, 303)","(611, 549)",0.29
667,2,"(422, 303)","(611, 549)",0.29
668,2,"(422, 303)","(611, 549)",0.29
669,2,"(422, 303)","(611, 549)",0.29
670,2,"(422, 303)","(611, 549)",0.29
671,2,"(422, 303)","(611, 549)",0.29
672,2,"(423, 303)","(611, 549)",0.29
673,2,"(423, 303)","(611, 549)",0.29
674,2,"(423, 303)","(611, 549)",0.29
675,2,"(423, 303)","(611, 549)",0.29
676,2,"(423, 303)","(611, 549)",0.29
677,2,"(423, 303)","(611, 549)",0.29
678,2,"(423, 303)","(611, 549)",0.29
679,2,"(423, 303)","(611, 549)",0.29
680,2,"(423, 303)","(611, 549)",0.29
681,2,"(423, 303)","(611, 549)",0.29
682,2,"(423, 303)","(611, 549)",0.29
683,2,"(423, 303)","(611, 549)",0.29
684,2,"(423, 303)","(611, 549)",0.29
685,2,"(423, 303)","(611, 549)",0.29
686,2,"(423, 303)","(611, 549)",0.29
687,2,"(423, 303)","(611, 549)",0.29
688,2,"(423, 303)","(611, 549)",0.29
689,2,"(423, 303)","(611, 549)",0.29
690,2,"(423, 303)","(611, 549)",0.29
691,2,"(423, 303)","(611, 549)",0.29
692,2,"(423, 303)","(611, 549)",0.29
693,2,"(423, 303)","(611, 549)",0.29
694,2,"(423, 303)","(611, 549)",0.29
695,2,"(423, 303)","(611, 549)",0.29
696,2,"(423, 303)","(611, 549)",0.29
697,2,"(423, 303)","(611, 549)",0.29
698,2,"(423, 303)","(611, 549)",0.29
699,2,"(423, 303)","(611, 549)",0.29
700,2,"(422, 306)","(610, 551)",0.29
701,2,"(422, 306)","(610, 550)",0.29
702,2,"(422, 306)","(610, 550)",0.29
703,2,"(422, 306)","(610, 550)",0.29
704,2,"(422, 306)","(610, 550)",0.29
705,2,"(422, 306)","(610, 550)",0.30
706,2,"(422, 306)","(610, 550)",0.29
707,2,"(422, 306)","(610, 550)",0.29
708,2,"(422, 306)","(610, 550)",0.29
709,2,"(422, 306)","(610, 550)",0.29
710,2,"(422, 306)","(610, 550)",0.29
711,2,"(422, 306)","(610, 550)",0.29
712,2,"(422, 306)","(610, 550)",0.29
713,2,"(422, 306)","(610, 550)",0.29
714,2,"(422, 306)","(610, 550)",0.29
715,2,"(422, 306)","(610, 550)",0.29
716,2,"(422, 306)","(610, 550)",0.29
717,2,"(422, 306)","(610, 550)",0.29
718,2,"(422, 306)","(610, 550)",0.29
719,2,"(422, 306)","(610, 550)",0.29
720,2,"(422, 306)","(610, 550)",0.29
721,2,"(422, 306)","(610, 550)",0.29
722,2,"(422, 306)","(610, 550)",0.29
723,2,"(422, 306)","(610, 550)",0.29
724,2,"(422, 306)","(610, 550)",0.29
725,2,"(422, 306)","(610, 550)",0.29
726,2,"(422, 306)","(610, 550)",0.29
727,2,"(422, 306)","(610, 550)",0.29
728,2,"(422, 306)","(610, 550)",0.29
729,2,"(422, 306)","(610, 550)",0.29
730,2,"(422, 306)","(610, 550)",0.29
731,2,"(422, 306)","(610, 550)",0.29
732,2,"(422, 306)","(610, 550)",0.29
733,2,"(422, 306)","(610, 550)",0.29
734,2,"(422, 306)","(610, 550)",0.29
735,2,"(422, 306)","(610, 550)",0.29
736,2,"(422, 306)","(610, 550)",0.29
737,2,"(422, 306)","(610, 550)",0.29
738,2,"(422, 306)","(610, 550)",0.29
739,2,"(422, 306)","(610, 550)",0.29
740,2,"(422, 306)","(610, 550)",0.29
741,2,"(422, 306)","(610, 550)",0.29
742,2,"(422, 306)","(610, 550)",0.29
743,2,"(422, 306)","(610, 550)",0.29
744,2,"(422, 306)","(610, 550)",0.29
745,2,"(422, 306)","(610, 550)",0.29
746,2,"(422, 306)","(610, 550)",0.29
747,2,"(422, 306)","(610, 550)",0.29
748,2,"(422, 306)","(610, 550)",0.29
749,2,"(422, 306)","(610, 550)",0.29
750,2,"(422, 306)","(610, 550)",0.29
751,2,"(422, 306)","(610, 550)",0.29
752,2,"(422, 306)","(610, 550)",0.29
753,2,"(422, 306)","(610, 550)",0.29
754,2,"(422, 306)","(610, 550)",0.29
755,2,"(422, 306)","(610, 550)",0.29
756,2,"(422, 306)","(610, 550)",0.29
757,2,"(422, 306)","(610, 550)",0.29
758,2,"(422, 306)","(610, 550)",0.29
759,2,"(422, 306)","(610, 550)",0.29
760,2,"(422, 306)","(610, 550)",0.29
761,2,"(422, 306)","(610, 550)",0.29
762,2,"(422, 306)","(610, 550)",0.29
763,2,"(422, 306)","(610, 550)",0.29
764,2,"(422, 306)","(610, 550)",0.29
765,2,"(422, 306)","(610, 550)",0.29
766,2,"(422, 306)","(610, 550)",0.29
767,2,"(422, 306)","(610, 550)",0.29
768,2,"(422, 306)","(610, 550)",0.29
769,2,"(422, 306)","(610, 550)",0.29
770,2,"(422, 306)","(610, 550)",0.29
771,2,"(422, 306)","(610, 550)",0.29
772,2,"(422, 306)","(610, 550)",0.29
773,2,"(422, 306)","(610, 550)",0.29
774,2,"(422, 306)","(610, 550)",0.29
775,2,"(422, 306)","(610, 550)",0.29
776,2,"(422, 306)","(610, 550)",0.29
777,2,"(422, 306)","(610, 550)",0.29
778,2,"(422, 306)","(610, 550)",0.29
779,2,"(422, 306)","(610, 550)",0.29
780,2,"(422, 306)","(610, 550)",0.29
781,2,"(422, 306)","(610, 550)",0.29
782,2,"(422, 306)","(610, 550)",0.29
783,2,"(422, 306)","(610, 550)",0.29
784,2,"(422, 306)","(610, 550)",0.29
785,2,"(422, 306)","(610, 550)",0.29
786,2,"(422, 306)","(610, 550)",0.29
787,2,"(422, 306)","(610, 550)",0.29
788,2,"(422, 306)","(610, 550)",0.29
789,2,"(422, 306)","(610, 550)",0.29
790,2,"(422, 306)","(610, 550)",0.29
791,2,"(422, 306)","(610, 550)",0.29
792,2,"(422, 306)","(610, 550)",0.29
793,2,"(422, 306)","(610, 550)",0.29
794,2,"(422, 306)","(610, 550)",0.29
795,2,"(422, 306)","(610, 550)",0.29
796,2,"(422, 306)","(610, 550)",0.29
797,2,"(422, 306)","(610, 550)",0.29
798,2,"(422, 306)","(610, 550)",0.29
799,2,"(422, 306)","(610, 550)",0.29
800,2,"(423, 307)","(609, 550)",0.29
801,2,"(423, 307)","(609, 550)",0.29
802,2,"(423, 307)","(609, 550)",0.29
803,2,"(423, 307)","(609, 550)",0.29
804,2,"(423, 307)","(609, 550)",0.29
805,2,"(423, 307)","(609, 550)",0.29
806,2,"(423, 307)","(609, 550)",0.29
807,2,"(423, 307)","(609, 550)",0.29
808,2,"(423, 307)","(609, 550)",0.29
809,2,"(423, 307)","(609, 550)",0.29
810,2,"(423, 307)","(609, 550)",0.29
811,2,"(423, 307)","(609, 550)",0.29
812,2,"(423, 307)","(609, 550)",0.29
813,2,"(423, 307)","(609, 550)",0.29
814,2,"(423, 307)","(609, 550)",0.29
815,2,"(423, 307)","(609, 550)",0.29
816,2,"(423, 307)","(609, 550)",0.29
817,2,"(423, 307)","(609, 550)",0.29
818,2,"(423, 307)","(609, 550)",0.29
819,2,"(423, 307)","(609, 550)",0.29
820,2,"(423, 307)","(609, 550)",0.29
821,2,"(423, 307)","(609, 550)",0.29
822,2,"(423, 307)","(609, 550)",0.29
823,2,"(423, 307)","(609, 550)",0.29
824,2,"(423, 307)","(609, 550)",0.29
825,2,"(423, 307)","(609, 550)",0.29
826,2,"(423, 307)","(609, 550)",0.29
827,2,"(423, 307)","(609, 550)",0.29
828,2,"(423, 307)","(609, 550)",0.29
829,2,"(423, 307)","(609, 550)",0.29
830,2,"(423, 307)","(609, 550)",0.29
831,2,"(423, 307)","(609, 550)",0.29
832,2,"(423, 307)","(609, 550)",0.29
833,2,"(423, 307)","(609, 550)",0.29
834,2,"(423, 307)","(609, 550)",0.29
835,2,"(423, 307)","(609, 550)",0.29
836,2,"(423, 307)","(609, 550)",0.29
837,2,"(423, 307)","(609, 550)",0.29
838,2,"(423, 307)","(609, 550)",0.29
