frame_number,ID,LT,RB,score
2411,2,"(883, 249)","(1125, 576)",0.11
2412,2,"(883, 249)","(1125, 576)",0.11
2413,2,"(878, 251)","(1131, 578)",0.10
2414,2,"(882, 268)","(1133, 595)",0.11
2415,2,"(876, 257)","(1125, 588)",0.11
2416,2,"(868, 258)","(1124, 593)",0.10
2417,2,"(868, 259)","(1124, 593)",0.10
2418,2,"(860, 263)","(1112, 589)",0.14
2419,2,"(852, 264)","(1085, 583)",0.15
2423,2,"(825, 258)","(1057, 573)",0.15
2424,2,"(801, 257)","(1042, 580)",0.11
2429,2,"(773, 256)","(1012, 580)",0.13
2433,2,"(762, 244)","(995, 558)",0.13
2434,2,"(751, 245)","(984, 554)",0.12
2435,2,"(743, 245)","(978, 555)",0.12
2436,2,"(741, 244)","(975, 556)",0.11
2437,2,"(741, 244)","(975, 556)",0.11
2438,2,"(738, 247)","(971, 556)",0.12
2439,2,"(725, 243)","(963, 554)",0.11
2440,2,"(726, 239)","(964, 554)",0.11
2441,2,"(727, 245)","(966, 550)",0.11
2442,2,"(727, 245)","(966, 550)",0.11
2443,2,"(728, 238)","(978, 551)",0.11
2444,2,"(745, 228)","(998, 558)",0.09
2445,2,"(749, 229)","(1002, 553)",0.10
2446,2,"(751, 228)","(1005, 553)",0.10
2447,2,"(751, 228)","(1005, 553)",0.10
2448,2,"(751, 227)","(1006, 553)",0.10
2449,2,"(755, 227)","(1008, 552)",0.10
2450,2,"(755, 226)","(1008, 552)",0.10
2451,2,"(755, 228)","(1008, 551)",0.10
2452,2,"(755, 227)","(1008, 552)",0.10
2453,2,"(757, 229)","(1009, 552)",0.10
2454,2,"(759, 230)","(1011, 553)",0.10
2455,2,"(760, 231)","(1013, 555)",0.10
2456,2,"(762, 232)","(1015, 554)",0.10
2457,2,"(762, 232)","(1015, 554)",0.10
2458,2,"(764, 233)","(1017, 555)",0.10
2459,2,"(766, 233)","(1020, 555)",0.10
2460,2,"(768, 234)","(1022, 556)",0.10
2461,2,"(768, 234)","(1023, 557)",0.10
2462,2,"(769, 233)","(1023, 557)",0.10
2463,2,"(769, 234)","(1023, 557)",0.10
2464,2,"(769, 234)","(1024, 557)",0.10
2465,2,"(731, 224)","(987, 547)",0.07
2466,2,"(733, 225)","(985, 537)",0.08
2467,2,"(733, 225)","(985, 537)",0.08
2468,2,"(736, 225)","(988, 535)",0.08
2469,2,"(737, 220)","(993, 544)",0.08
2470,2,"(749, 222)","(996, 532)",0.08
2471,2,"(754, 222)","(1001, 532)",0.08
2472,2,"(754, 222)","(1001, 532)",0.08
2473,2,"(758, 221)","(1006, 532)",0.08
2474,2,"(761, 217)","(1012, 533)",0.08
2475,2,"(771, 213)","(1022, 532)",0.08
2476,2,"(777, 212)","(1028, 531)",0.08
2477,2,"(777, 213)","(1028, 531)",0.08
2478,2,"(782, 206)","(1032, 530)",0.08
2479,2,"(791, 210)","(1038, 523)",0.09
2480,2,"(812, 215)","(1059, 527)",0.08
2481,2,"(815, 215)","(1062, 529)",0.08
2482,2,"(815, 215)","(1062, 529)",0.08
2483,2,"(807, 205)","(1058, 529)",0.09
2484,2,"(805, 206)","(1056, 521)",0.09
2485,2,"(799, 204)","(1047, 520)",0.10
2486,2,"(795, 205)","(1041, 520)",0.10
2487,2,"(796, 206)","(1041, 521)",0.10
2488,2,"(792, 210)","(1038, 520)",0.10
2489,2,"(789, 215)","(1035, 524)",0.10
2490,2,"(783, 217)","(1029, 532)",0.10
2491,2,"(777, 219)","(1026, 530)",0.09
2492,2,"(777, 219)","(1026, 530)",0.10
2493,2,"(776, 220)","(1022, 530)",0.10
2494,2,"(774, 218)","(1018, 532)",0.09
2495,2,"(763, 220)","(1015, 545)",0.09
2496,2,"(761, 220)","(1007, 545)",0.09
2497,2,"(761, 221)","(1007, 545)",0.09
2498,2,"(759, 222)","(1003, 542)",0.09
2499,2,"(759, 224)","(998, 543)",0.09
2500,2,"(752, 219)","(991, 543)",0.10
2501,2,"(749, 215)","(990, 544)",0.10
2502,2,"(749, 215)","(990, 545)",0.10
2503,2,"(748, 215)","(989, 542)",0.10
2506,2,"(754, 216)","(991, 537)",0.10
2507,2,"(755, 217)","(992, 537)",0.10
2508,2,"(759, 218)","(996, 535)",0.09
2509,2,"(762, 218)","(997, 533)",0.10
2510,2,"(761, 220)","(1001, 529)",0.11
2511,2,"(764, 215)","(1008, 531)",0.10
2512,2,"(765, 216)","(1009, 530)",0.10
2513,2,"(769, 217)","(1014, 533)",0.09
2514,2,"(770, 218)","(1022, 537)",0.10
2515,2,"(784, 232)","(1033, 545)",0.10
2516,2,"(791, 233)","(1037, 551)",0.09
2517,2,"(790, 233)","(1037, 550)",0.09
2518,2,"(791, 234)","(1043, 559)",0.09
2519,2,"(795, 238)","(1047, 559)",0.09
2520,2,"(805, 231)","(1057, 551)",0.09
2521,2,"(809, 229)","(1061, 549)",0.10
2522,2,"(809, 229)","(1061, 549)",0.10
2523,2,"(812, 226)","(1063, 546)",0.10
2524,2,"(814, 223)","(1066, 545)",0.09
2525,2,"(817, 224)","(1072, 547)",0.09
2526,2,"(817, 224)","(1072, 549)",0.09
2527,2,"(818, 224)","(1073, 549)",0.09
2528,2,"(816, 223)","(1071, 550)",0.09
2529,2,"(820, 225)","(1075, 553)",0.08
2530,2,"(821, 228)","(1077, 553)",0.08
2531,2,"(821, 228)","(1077, 553)",0.08
2532,2,"(821, 228)","(1077, 553)",0.08
2533,2,"(821, 227)","(1077, 553)",0.08
2534,2,"(821, 227)","(1077, 553)",0.08
2535,2,"(821, 229)","(1076, 554)",0.08
2536,2,"(822, 232)","(1076, 555)",0.08
2537,2,"(822, 232)","(1075, 556)",0.08
2538,2,"(823, 234)","(1076, 557)",0.09
2539,2,"(825, 237)","(1074, 557)",0.10
2540,2,"(824, 240)","(1073, 559)",0.10
2541,2,"(824, 240)","(1071, 560)",0.10
2542,2,"(824, 240)","(1071, 560)",0.10
2543,2,"(823, 243)","(1070, 559)",0.10
2544,2,"(823, 242)","(1070, 558)",0.11
2545,2,"(823, 241)","(1068, 557)",0.10
2546,2,"(822, 239)","(1069, 559)",0.10
2547,2,"(822, 239)","(1069, 559)",0.10
2549,2,"(825, 235)","(1079, 558)",0.09
